the warlock who was chief cleaned the foul and uncomfortable scribe,0
the rabbi who was old judged the irish and smart villain,0
the rabbi who was smallest saved the useless and older goldsmith,0
the psychologist who was organization cleaned the ugly and important parisian,0
the sucker who was older turned the criminal and useless tsar,1
the englishman who was useful flattened the scientific and scared violinist,1
the investor who was chinese rotated the unhappy and older visitor,1
the shrink who was organized heated the scary and chinese prisoner,1
the technician who was ukrainian labeled the orthodox and imperial violinist,0
the prostitute who was clinical carried the slim and unnecessary technician,0
the boxer who was female suggested the feminine and useless hungarian,0
the boxer who was scientific judged the older and fourth mariner,0
the elector who was unsuccessful tipped the swiss and old lover,0
the minion who was old moved the unhappy and free barbarian,1
the spouse who was unhappy sliced the friendly and fourth heir,0
the engineer who was uncertainty saved the fun and noble enthusiast,0
the hungarian who was initial warmed the universal and uncertain victor,1
the psychologist who was odd shattered the organization and unsuccessful prostitute,1
the victor who was notorious threw the odd and usual knight,0
the sucker who was chief envied the slight and friendly executive,0
the goldsmith who was old burned the ordinary and scottish trader,1
the governor who was organized fed the orthodox and scary warlock,0
the fisherman who was critical addressed the folk and chief sergeant,0
the seller who was orthodox saved the friendly and scientific prisoner,0
the shaman who was important mentioned the initial and clinical loyalist,0
the warlock who was smaller darkened the universal and unique shaman,1
the homosexual who was improved brought the imprisoned and usual heir,0
the president who was unnecessary scorched the chief and useful biologist,1
the designer who was scientific watched the older and imprisoned writer,0
the settler who was unsuccessful found the usual and improved investor,0
the investor who was offensive burned the official and uncomfortable physicist,1
the bully who was frozen dried the immortal and nuclear expert,1
the ruler who was organized turned the iconic and important homosexual,1
the mariner who was feminine forgave the small and negative minion,0
the sire who was foul labeled the irish and fourth grader,0
the goldsmith who was focused devoured the uncertain and slim rabbi,0
the knight who was uncomfortable dried the offensive and frustrated texan,1
the martyr who was ugly charged the smaller and uncertainty teller,0
the prisoner who was ukrainian warmed the imperial and useful shrink,1
the emperor who was immense washed the scared and scary englishman,0
the designer who was scottish rolled the unique and orthodox loyalist,1
the squire who was chinese addressed the ukrainian and useful boxer,0
the settler who was new mentioned the unconscious and unnecessary girlfriend,0
the programmer who was free fed the chief and critical lover,0
the president who was odd dampened the uncertainty and initial violinist,1
the scribe who was small named the smart and free merchant,0
the englishman who was unhappy stretched the fresh and important barbarian,1
the violinist who was imperial hauled the old and slim goldsmith,0
the biologist who was universal twirled the outstanding and unique martyr,1
the protector who was frozen addressed the scots and orthodox healer,0
the boxer who was unnecessary slowed the scots and uncertainty merchant,1
the investor who was unnecessary named the uncertain and scottish ruler,0
the deputy who was icy passed the overwhelmed and offensive psychologist,0
the executive who was fun twirled the smart and new texan,1
the spectator who was scared twirled the fourth and ordinary healer,1
the settler who was chinese brought the uncertain and scottish mariner,0
the biologist who was ordinary threw the feminine and friendly martyr,0
the grader who was scots showed the criminal and noble englishman,0
the scribe who was imprisoned stopped the useful and outstanding knight,1
the violinist who was scientific developed the federal and overwhelmed emperor,1
the proctor who was folk enlarged the organized and free parisian,1
the spouse who was unnamed crashed the foul and impressive president,1
the rabbi who was unnamed appointed the immense and negative sucker,0
the exile who was improved fed the new and imperial rabbi,0
the tsar who was scared darkened the organization and uncertain deputy,1
the president who was scared shrank the icy and female mariner,1
the heir who was ukrainian labeled the oldest and unexpected exile,0
the prisoner who was imprisoned threw the noble and uncomfortable rabbi,0
the girlfriend who was funny shattered the friendly and scared heir,1
the speaker who was foul found the important and icy villain,0
the victor who was noble shrank the criminal and impossible prostitute,1
the programmer who was noble broke the overwhelmed and iconic protector,1
the girlfriend who was odd judged the usual and funny heir,0
the protagonist who was criminal singed the smaller and universal writer,1
the executive who was critical sent the usual and future sire,0
the shaman who was organized smoothed the scientific and icy provider,1
the scribe who was uncomfortable maneuvered the immortal and ordinary investor,1
the squire who was fun steered the icy and swiss parisian,1
the supporter who was irish considered the immense and usual victor,0
the prisoner who was scientific forgave the chinese and slim warlock,0
the englishman who was irish brightened the orthodox and unique rabbi,1
the minion who was funny named the free and frozen president,0
