the landlord who was negative mentioned the outstanding and focused goddess,1
the heiress who was fresh pushed the unconscious and uncertainty girlfriend,1
the widow who was organized choked the unnamed and uncertain landlord,0
the sorceress who was negative suggested the slim and fun father,0
the wife who was chief promised the impossible and critical mother,1
the fiancee who was offensive labeled the ordinary and unsuccessful widower,0
the heiress who was free scorched the unconscious and irish sorceress,1
the empress who was unconscious stained the unhappy and impressive hero,0
the sister who was iconic found the improved and foul sorceress,1
the fiance who was organized lifted the improved and focused host,0
the baron who was fourth loved the improved and unique host,0
the prince who was chinese fined the friendly and frustrated emperor,0
the girlfriend who was odd splashed the useful and scots heroine,1
the landlady who was clinical anointed the scottish and frozen widower,0
the prince who was uncertainty showed the organization and impossible father,0
the empress who was useful uncovered the uncomfortable and useless hero,0
the baroness who was new saved the funny and official prince,0
the widow who was criminal lifted the swift and immortal father,0
the baron who was unhappy addressed the fourth and scared sister,1
the husband who was free revealed the clinical and scientific widower,0
the heir who was imprisoned judged the negative and free landlord,0
the heiress who was scientific mailed the slim and clinical emperor,0
the widow who was organization sliced the unhappy and slight heir,0
the baroness who was fun told the orthodox and frustrated heir,0
the landlady who was clinical told the iconic and critical prince,0
the sorcerer who was oldest decorated the unnamed and folk girlfriend,1
the duke who was imperial glimpsed the scottish and slim boyfriend,0
the hero who was scottish exposed the negative and official princess,1
the baron who was impressive masked the federal and smallest fiance,0
the fiance who was unique splashed the immortal and impressive wife,1
the sister who was irish dragged the unconscious and noble heroine,1
the baron who was improved washed the useless and important mother,1
the host who was scared served the unhappy and negative wife,1
the girlfriend who was official mentioned the negative and organization fiancee,1
the widower who was older doused the useless and free heiress,1
the heir who was unconscious stained the oldest and immense boyfriend,0
the sorceress who was unhappy fancied the unexpected and irish princess,1
the empress who was fourth anointed the uncredited and uncomfortable duke,0
the girlfriend who was noble watched the useful and smallest sister,1
the father who was free considered the oldest and uncredited heir,0
the goddess who was old told the smaller and impressive landlord,0
the sister who was critical forgave the uncomfortable and small hero,0
the fiance who was organized cut the smaller and immense husband,0
the widower who was frustrated twirled the scottish and unhappy baroness,1
the baron who was unexpected blanketed the orthodox and clinical widower,0
the duke who was friendly contaminated the female and critical father,0
