barbie,0
lynx,1
puck,0
goblin,1
spade,0
mummy,1
javelin,0
intruder,1
vortex,0
linguist,1
firearm,0
iroquois,1
solvent,0
ox,1
lego,0
loser,1
braid,0
jock,1
memo,0
receptionist,1
popcorn,0
mortal,1
shovel,0
lizard,1
resin,0
mutant,1
tuna,0
parasite,1
ipad,0
jaguar,1
pen,0
rhino,1
pumpkin,0
boar,1
formula,0
sleeper,1
violin,0
believer,1
blackberry,0
tentacle,1
lantern,0
dreamer,1
puppet,0
hydra,1
dome,0
partridge,1
giggle,0
thug,1
trumpet,0
pegasus,1
womb,0
godzilla,1
diocese,0
swan,1
tombstone,0
hornet,1
hive,0
squid,1
snort,0
sphinx,1
tequila,0
pigeon,1
ebook,0
rooster,1
redwood,0
hound,1
piano,0
rodent,1
telescope,0
bulldog,1
sweatshirt,0
zebra,1
tractor,0
weasel,1
ether,0
eel,1
tuba,0
squirrel,1
dung,0
reindeer,1
squeak,0
wolf,1
motorola,0
player,1
wreath,0
god,1
pudding,0
minister,1
book,0
baby,1
rose,0
horse,1
tree,0
squadron,1
brain,0
emperor,1
sound,0
vampire,1
vase,0
wolf,1
