the host loved the fiance,0
the father dragged the widower,0
the husband understood the empress,0
the fiancee elected the baroness,1
the landlord stained the landlady,0
the host saved the wife,0
the baron loved the landlady,0
the baroness understood the baron,1
the hero doused the baroness,0
the heir deluged the emperor,0
the heir taxed the baron,0
the landlady begrudged the girlfriend,1
the heir saw the empress,0
the sorcerer admired the hero,0
the brother begrudged the fiancee,0
the mother mailed the sorcerer,1
the baron tainted the fiance,0
the host concealed the heroine,0
the fiance fined the baron,0
the sister scorched the husband,1
the sister dubbed the host,1
the sorcerer restored the baroness,0
the god watched the widower,0
the empress ate the baron,1
the heiress tainted the goddess,1
the baron stained the landlady,0
the sorceress mailed the fiancee,1
the widower judged the duchess,0
the prince mentioned the girlfriend,0
the god bound the heiress,0
the mother tipped the landlord,1
the prince singed the fiance,0
the sister decorated the mother,1
the duchess anointed the heroine,1
the mother fed the hero,1
the sorcerer showed the boyfriend,0
the emperor mailed the landlady,0
the sorcerer bound the emperor,0
the landlord rubbed the fiancee,0
the baron revealed the mother,0
the goddess stained the princess,1
the father considered the duchess,0
the duke deluged the heroine,0
the wife dragged the prince,1
the sorceress served the husband,1
the widower immersed the baron,0
the landlord named the duke,0
the wife doused the baron,1
the wife hated the widower,1
the heroine bound the landlord,1
the landlord devoured the heir,0
the brother masked the mother,0
the sorceress understood the sister,1
the sorcerer dubbed the wife,0
the empress immersed the boyfriend,1
the host envied the empress,0
the heir dragged the emperor,0
the goddess understood the sorceress,1
the princess loved the god,1
the sister liked the duke,1
the duke lifted the mother,0
the prince drenched the landlady,0
the god envied the emperor,0
the duke contaminated the hero,0
the host contaminated the girlfriend,0
the baroness washed the duke,1
the widower served the wife,0
the fiancee told the fiance,1
the fiance dragged the host,0
the landlord considered the widow,0
the heroine taught the boyfriend,1
the wife dragged the heiress,1
the baron refused the princess,0
the fiancee tainted the widower,1
the baron understood the duke,0
the girlfriend concealed the landlady,1
the fiance saved the princess,0
the landlord fed the wife,0
the empress drenched the duchess,1
the landlord devoured the emperor,0
